Abadá;ABADA
Prima;PRIMA
Pudim;PUDIM
Pulso;PULSO
Quais;QUAIS
Quibe;QUIBE
Quilo;QUILO
Raças;RACAS
Raiar;RAIAR
Raios;RAIOS
Raras;RARAS
Ratão;RATAO
Redes;REDES
Rédia;REDIA
Regar;REGAR
Régua;REGUA
Reles;RELES
Relva;RELVA
Reúno;REUNO
Revés;REVES
Rimar;RIMAR
Risco;RISCO
Riste;RISTE
Rocha;ROCHA
Rolos;ROLOS
Rúgbi;RUGBI
Saber;SABER
Sábio;SABIO
Sabor;SABOR
Saída;SAIDA
Sapão;SAPAO
Saruá;SARUA
Saurá;SAURA
Seara;SEARA
Seita;SEITA
Selva;SELVA
Senão;SENAO
Série;SERIE
Sério;SERIO
Setor;SETOR
Símio;SIMIO
Sinhá;SINHA
Sírio;SIRIO
Socar;SOCAR
Sócia;SOCIA
Sofás;SOFAS
Sogro;SOGRO
Solar;SOLAR
Sonar;SONAR
Sótão;SOTAO
Sovar;SOVAR
Suado;SUADO
Suíno;SUINO
Suíno;SUINO
Suíte;SUITE
Sushi;SUSHI
Sutil;SUTIL
Taças;TACAS
Talão;TALAO
Tarde;TARDE
Tchau;TCHAU
Tecer;TECER
Tecla;TECLA
Tédio;TEDIO
Tênia;TENIA
Tênis;TENIS
Tensa;TENSA
Terça;TERCA
Terça;TERCA
Terno;TERNO
Terra;TERRA
Texto;TEXTO
Tinta;TINTA
Tiros;TIROS
Tocar;TOCAR
Todos;TODOS
Tomba;TOMBA
Toque;TOQUE
Tosse;TOSSE
Touro;TOURO
Traço;TRACO
Trama;TRAMA
Treta;TRETA
Trevo;TREVO
Trufa;TRUFA
Turno;TURNO
Unção;UNCAO
Unhas;UNHAS
Urubu;URUBU
Usada;USADA
Usual;USUAL
Vacas;VACAS
Vaias;VAIAS
Varal;VARAL
Vazão;VAZAO
Vazar;VAZAR
Vênus;VENUS
Vidão;VIDAO
Vidas;VIDAS
Viral;VIRAL
Visão;VISAO
Visar;VISAR
Vivos;VIVOS
Vosso;VOSSO
Vulto;VULTO
Xales;XALES
Xeque;XEQUE
Xisto;XISTO
Zelar;ZELAR
Zerar;ZERAR
Zinco;ZINCO
Zíper;ZIPER
Zomba;ZOMBA
Zonzo;ZONZO
